No,Wilayah,Total jml,Total L,Total P,TK jml,TK L,TK P,KB jml,KB L,KB P,TPA jml,TPA L,TPA P,SPS jml,SPS L,SPS P,PKBM jml,PKBM L,PKBM P,SKB jml,SKB L ,SKB P,SD jml,SD L,SD P,SMP jml,SMP L,SMP P,SMA jml,SMA L,SMA P,SMK jml,SMK L,SMK P,SLB jml,SLB L,SLB P
1,Prov. Jawa Barat,9.483.667,4.904.905,4.578.762,365.538,188.16,177.378,360.743,184.097,176.646,2.857,1.574,1.283,193.094,98.256,94.838,398.307,231.848,166.459,8.773,5.135,3.638,4.459.702,2.305.353,2.154.349,1.795.220,919.13,876.09,817.919,358.572,459.347,1.052.991,595.489,457.502,28.523,17.291,11.232
2,Prov. Jawa Timur,6.454.517,3.364.480,3.090.037,748.898,385.706,363.192,326.813,166.908,159.905,5.978,3.202,2.776,103.491,52.324,51.167,189.965,104.81,85.155,8.868,4.958,3.91,2.519.283,1.306.105,1.213.178,1.219.163,637.136,582.027,544.357,238.2,306.157,765.554,451.671,313.883,22.147,13.46,8.687
3,Prov. Jawa Tengah,6.114.994,3.162.810,2.952.184,558.475,289.193,269.282,264.294,135.771,128.523,12.814,6.834,5.98,70.777,35.811,34.966,139.335,79.96,59.375,12.346,6.967,5.379,2.586.541,1.340.771,1.245.770,1.201.286,616.108,585.178,450.999,181.017,269.982,797.287,457.94,339.347,20.84,12.438,8.402
4,Prov. Sumatera Utara,3.068.710,1.583.971,1.484.739,111.561,57.513,54.048,84.863,43.326,41.537,641,312,329,6.924,3.43,3.494,51.934,33.325,18.609,4.059,2.863,1.196,1.505.246,782.083,723.163,616.37,315.109,301.261,385.462,173.18,212.282,295.928,169.366,126.562,5.722,3.464,2.258
5,Prov. Banten,2.406.372,1.247.015,1.159.357,100.875,51.488,49.387,102.911,51.882,51.029,328,175,153,16.791,8.524,8.267,71.273,44.043,27.23,1.823,1.151,672,1.197.538,620.488,577.05,436.666,224.634,212.032,223.876,102.001,121.875,247.608,138.425,109.183,6.683,4.204,2.479
6,Prov. Sulawesi Selatan,1.849.227,948.192,901.035,146.354,74.912,71.442,38.441,19.472,18.969,532,294,238,4.743,2.407,2.336,93.111,52.294,40.817,14.634,8.405,6.229,875.909,453.605,422.304,329.915,166.498,163.417,226.904,100.531,126.373,114.33,67.073,47.257,4.354,2.701,1.653
7,Prov. Sumatera Selatan,1.774.256,916.585,857.671,79.455,40.981,38.474,83.028,42.302,40.726,278,148,130,2.706,1.401,1.305,34.518,23.545,10.973,2.992,2.124,868,874.207,453.606,420.601,353.426,179.17,174.256,216.427,98.982,117.445,124.154,72.407,51.747,3.065,1.919,1.146
8,Prov. Lampung,1.688.963,874.485,814.478,126.936,65.575,61.361,63.626,32.424,31.202,1.054,550,504,5.279,2.682,2.597,40.678,26.19,14.488,3.815,2.548,1.267,792.14,411.445,380.695,333.743,170.87,162.873,170.734,75.153,95.581,148.772,85.735,63.037,2.186,1.313,873
9,Prov. D.K.I. Jakarta,1.660.049,853.466,806.583,70.783,36.283,34.5,11.539,5.885,5.654,907,478,429,46.294,23.232,23.062,30.895,19.397,11.498,7.121,4.499,2.622,753.522,388.789,364.733,346.315,175.704,170.611,191.603,92.8,98.803,195.068,102.814,92.254,6.002,3.585,2.417
10,Prov. Riau,1.466.976,758.07,708.906,88.61,45.297,43.313,37.056,18.682,18.374,2.098,1.105,993,1.93,982,948,28.16,17.901,10.259,3.289,2.182,1.107,770.325,400.708,369.617,257.179,130.727,126.452,170.612,77.206,93.406,104.016,60.921,43.095,3.701,2.359,1.342
